pais,causa,metrica,sexo,edad,anio,valor,limite_superior,limite_inferior
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,15914.557448728629,17958.41354253183,14023.34686404218
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,32038502.05454597,35975583.71654324,28656521.363114607
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,19491.60056793881,21886.84436018468,17434.06939330301
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,864975.6378283447,942586.4577592672,792396.1440860436
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,26495.906773283383,28873.278989974515,24272.653983555963
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,1460724.2924240509,1636673.7145586875,1299562.885250127
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,19524.747065929583,21876.572103270657,17370.585785679774
Chile,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,2690685.24160339,3016100.919623771,2378793.237863521
Chile,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,18728.161587059065,20993.17471705876,16557.27821748622
México,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1996,16041514.386736304,18024761.602926902,14309534.190819182
México,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1996,16653.828309368593,18712.77722386637,14855.737423268722
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,3489052.511077074,3928455.766679731,3068855.4624378146
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,15848.93982025212,17844.91888126073,13940.20450733035
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,8230972.582355557,9080200.22972154,7479341.976304641
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,22943.08409709408,25310.22857924945,20847.98245120319
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,32637271.39944478,36832048.650539935,29106985.813902564
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,19538.46820210216,22049.69289770641,17425.044815285895
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,1933478.80549204,2165877.433757944,1719429.4559082682
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,16327.686641270591,18290.22792561695,14520.099872879717
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,8365946.749985749,9219573.236750394,7626153.744948221
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,23079.954380782023,25434.93714143477,21039.015164008168
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,2000166.4811585816,2239980.6285086405,1782225.535197453
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,16524.53404365956,18505.77764481311,14723.997630832586
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,3537723.771123974,3996990.602209219,3116519.0837662583
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,15748.117379679665,17792.535890689083,13873.131856071872
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1998,33532053.42060109,37856746.9485849,29890803.86156516
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1998,19752.901860395585,22300.471666605827,17607.931962886814
Ecuador,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,2079260.026958706,2324207.6841865364,1861224.55474968
Ecuador,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,16812.967319440435,18793.622409496107,15049.925073064443
Uruguay,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,854214.9079501388,932202.1324220732,779039.1457157321
Uruguay,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,26042.35160590424,28419.93914454882,23750.476792985894
Bolivia,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1997,1491385.489120612,1665815.6091387062,1329890.1452944751
Bolivia,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1997,19392.76962826961,21660.917708305533,17292.81490716989
Argentina,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,8491053.178447396,9337697.344554145,7726639.547037938
Argentina,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,23189.227365949868,25501.42865044288,21101.5992322127
Venezuela,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,3734837.624189762,4199488.68274171,3297904.7692487566
Venezuela,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,16315.559636729236,18345.37801677684,14406.827646383916
Brasil,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1999,34341382.104720086,38690450.14612018,30638664.593309924
Brasil,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1999,19911.27741518245,22432.88531103701,17764.4262682215
Perú,Enfermedades que no son contagiosas,Número,Ambos,Todas las edades,1995,3867401.821513702,4423251.6672459375,3416859.129933055
Perú,Enfermedades que no son contagiosas,Tasa,Ambos,Todas las edades,1995,16239.541293396747,18573.6009384232,14347.675130521991
